nama_tempat,latitude,longitude,kategori
RKC SEAFOOD / RUMAH KEPITING CUMI BPD,"-1,2230313","116,8321765",Restoran
Mapsservis Kursi Sofa Panggilan,"-1,2217868","116,8321306",Toko Furnitur
Radja Tenda,"-1,2237713","116,8329828",Layanan Sewa Tenda
DapurMomoy08,"-1,2236036","116,832622",Toko Kue
Perumahan bpd,"-1,222027","116,8321634",Dapur Umum
Nayla ol shop,"-1,223107","116,833381",Toko Perhiasan
Makam Abah Muhammad Arsyad Bin Muhammad Yasin,"-1,2236132","116,833412",Pemakaman
Distributor Shannen,"-1,2218823","116,8325451",Toko Kosmetik
PT. ITCI Kartika Utama,"-1,2235762","116,8099926",Pemasok kayu
CV. FELISHA SAMUDRA JAYA,"-1,2250518","116,8098223",Perusahaan Konstruksi
SNIPER CI IN CI (GUNSHOP 88),"-1,187394","116,9934297",Toko Airsoft Gun
rentalmobilbpp354,"-1,2701875","116,8471373",Agen Sewa Mobil
Mie Pedas Rempah / Mie Dower 62,"-1,2705814","116,8468263",Restoran Mie
Kos-Kosan/Kontrakan/Sewa Rumah,"-1,2706094","116,8470514",Agen Sewa Mobil
Garasi 2 Tak ( house of boker ),"-1,2701308","116,8474595",Bengkel Sepeda Motor
KOTAKAN AJA,"-1,2706024","116,8468134",Paket Makanan Pokok
Surya Bakti,"-1,2509652","116,8386484",Toko Elektronik
Panca Jaya Motor. UD,"-1,2517342","116,8384735",Toko Aksesori Truk
Kelompok Bermain Darul Ihsan,"-1,2512905","116,838634",Kelompok Bermain
PT. GLOBAL ABADI SEJAHTERA,"-1,2516821","116,8373896",Agen Gas Elpiji
PT. Kinibalu Jaya Raya,"-1,2516","116,837439",Agen Gas Elpiji
kios 45,"-1,2360465","116,8134757",Toko Perlengkapan Rumah
Khanza cake & cookies,"-1,2360416","116,8135079",Toko Kue
Bengkel Las Biru,"-1,2340515","116,8150303",Pabrik mekanis
Driver,"-1,2628859","116,881602",Kompleks Townhouse
Cahaya Harapan Community School,"-1,2630508","116,8803633",Sekolah pendidikan umum
Balikpapan Agent Property,"-1,2574744","116,8831824",Agen Properti Komersial
Ekasolle Cakery,"-1,257341","116,8818955",Toko Kue
HOMEIDE.PR [MAHAR & SESERAHAN],"-1,2571801","116,8814197",Toko Kerajinan Tangan
Pesona Alam Residence,"-1,2573862","116,8825877",Developer Rumah Hunian Khusus
Ahmadstore,"-1,2354013","116,8134388",Kategori tidak ditemukan
export ikan,"-1,235292","116,8138362",Eksportir
Robinson,"-1,2352921","116,8138361",Tempat Ibadah
Gudang Baru Awtwo,"-1,2359807","116,8127599",Gudang
Edy,"-1,2356284","116,8135661",Klinik Perjalanan
JEMBATAN CINTA KAMPUNG BARU TENGAH,"-1,2359911","116,812912",Asosiasi Teknisi Pelabuhan dan Kanal Jalan
RedDoorz Plus near Sepinggan Airport 3,"-1,266491","116,8820315",Kategori tidak ditemukan
GUEST HOUSE BARKAH,"-1,2665366","116,882083",Kategori tidak ditemukan
POSBAKUMADIN BALIKPAPAN,"-1,2651597","116,8819351",Pengacara
TrueMoney Indonesia,"-1,2642403","116,8818643",Layanan Transfer Uang
Pondok Karya Agung Blok BAA 57,"-1,2660706","116,8822283",Rumah Kaca
Kingdom garage,"-1,2663036","116,8825229",Bengkel Mobil
Multitama Indonesia. PT,"-1,2664601","116,8819708",Toko Ban
Distributor Propolis,"-1,2651999","116,8820348",Layanan Distribusi
Gandrung Grafika,"-1,239135","116,8358122",Biro Iklan
Mr. Ting Wae,"-1,2385285","116,8354207",Ahli tembakau
Kampung Toga Muara Rapak,"-1,2374123","116,8348568",Taman
RUMAH AL,"-1,2375654","116,8343172",Kantor Perusahaan
Gamon boba dan es jeruk peras,"-1,2381067","116,8341217",Kedai Sarapan & Makan Siang
DrW Skincare Balikpapan (resmi),"-1,2393148","116,8349538",Toko Kosmetik
